risk_rank,company,primary_product,complaint_count,untimely_rate_pct,dispute_rate_pct,states,peak_monthly_complaints,maximum_monthly_growth_pct,risk_score
300,"Axiom Acquisition Ventures, LLC",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
301,"B9, Inc.","Money transfer, virtual currency, or money service",1,0.0,0.0,1,1,0.0,0.0
302,"BALANCED HEALTHCARE RECEIVABLES, LLC",Debt collection,1,0.0,0.0,1,1,0.0,0.0
303,"BANK OF NEW YORK MELLON CORPORATION, THE",Checking or savings account,1,0.0,0.0,1,1,0.0,0.0
304,BANKERS HEALTHCARE GROUP LLC,"Payday loan, title loan, personal loan, or advance loan",1,0.0,0.0,1,1,0.0,0.0
305,"BMW Financial Services NA, LLC",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
306,"BYS, LLC. d/b/a Boost Your Score",Debt collection,1,0.0,0.0,1,1,0.0,0.0
307,"Bepensa Capital, Inc.",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
308,"BetterNOI, LLC",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
309,"Bilt Technologies, Inc.",Credit card,1,0.0,0.0,1,1,0.0,0.0
310,"Blockchain.com, Inc.","Money transfer, virtual currency, or money service",1,0.0,0.0,1,1,0.0,0.0
311,BlueChip Financial,"Payday loan, title loan, personal loan, or advance loan",1,0.0,0.0,1,1,0.0,0.0
312,C/C Financial,Debt collection,1,0.0,0.0,1,1,0.0,0.0
313,"CARS Acquisition, LLC",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
314,"CHARLES SCHWAB CORPORATION, THE",Checking or savings account,1,0.0,0.0,1,1,0.0,0.0
315,CIBC BANCORP USA INC.,Checking or savings account,1,0.0,0.0,1,1,0.0,0.0
316,"CMG Financial Services, Inc.",Mortgage,1,0.0,0.0,1,1,0.0,0.0
317,"COAST PROFESSIONAL, INC.",Debt collection,1,0.0,0.0,1,1,0.0,0.0
318,"COLUMBIA BANKING SYSTEM, INC.",Checking or savings account,1,0.0,0.0,1,1,0.0,0.0
319,CONTRACT CALLERS INC,Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
320,"Capio Partners, LLC",Debt collection,1,0.0,0.0,1,1,0.0,0.0
321,"Carvana Group, LLC",Vehicle loan or lease,1,0.0,0.0,1,1,0.0,0.0
322,City First Mortgage Corp,Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
323,Cliff Lending Inc. d/b/a Advance Loan Solutions,"Payday loan, title loan, personal loan, or advance loan",1,0.0,0.0,1,1,0.0,0.0
324,Climb Credit Inc.,Debt collection,1,0.0,0.0,1,1,0.0,0.0
325,Collection Bureau of America Ltd.,Debt collection,1,0.0,0.0,1,1,0.0,0.0
326,Comerica,Prepaid card,1,0.0,0.0,1,1,0.0,0.0
327,"Complete Credit Solutions, Inc.",Debt collection,1,0.0,0.0,1,1,0.0,0.0
328,Contemporary Information Corp,Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
329,"Convergent Resources, Inc.",Debt collection,1,0.0,0.0,1,1,0.0,0.0
330,"Cordoba Legal Group, PLLC.",Debt or credit management,1,0.0,0.0,1,1,0.0,0.0
331,Credit Fresh Holdings Inc,Debt collection,1,0.0,0.0,1,1,0.0,0.0
332,"Credit Karma, LLC",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
333,"Credit Service Company, INC",Debt collection,1,0.0,0.0,1,1,0.0,0.0
334,"DMB Financial, LLC",Debt or credit management,1,0.0,0.0,1,1,0.0,0.0
335,DOLLAR MUTUAL BANCORP,Mortgage,1,0.0,0.0,1,1,0.0,0.0
336,Data Mortgage Inc.,Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
337,Deatrick & Spies PSC,Debt collection,1,0.0,0.0,1,1,0.0,0.0
338,"Dovenmuehle Mortgage, Inc.",Mortgage,1,0.0,0.0,1,1,0.0,0.0
339,"Duvera Billing Services, LLC",Debt collection,1,0.0,0.0,1,1,0.0,0.0
340,"Dynamic Collectors, Incorporated",Debt collection,1,0.0,0.0,1,1,0.0,0.0
341,"EVERBANK, NATIONAL ASSOCIATION",Checking or savings account,1,0.0,0.0,1,1,0.0,0.0
342,"Eastern Revenue, Inc.",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
343,FIRST ADVANTAGE CORPORATION,Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
344,FIRST NATIONAL BANK OF OMAHA,Credit card,1,0.0,0.0,1,1,0.0,0.0
345,FULTON FINANCIAL CORPORATION,Checking or savings account,1,0.0,0.0,1,1,0.0,0.0
346,Fidelity Properties Inc.,Debt collection,1,0.0,0.0,1,1,0.0,0.0
347,Financial Assistance Inc,Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
348,First Advantage LNS Inc.,Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
349,"First National Collection Bureau, Inc.",Debt collection,1,0.0,0.0,1,1,0.0,0.0
350,First Technology Federal Credit Union,Checking or savings account,1,0.0,0.0,1,1,0.0,0.0
351,"Firstsource Business Process Services, LLC",Credit card,1,0.0,0.0,1,1,0.0,0.0
352,Friendly Finance Corporation,Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
353,"GLA Collection Company, Inc.",Debt collection,1,0.0,0.0,1,1,0.0,0.0
354,GLOBAL CREDIT UNION,Debt collection,1,0.0,0.0,1,1,0.0,0.0
355,"GREENSKY OPERATIONS, LLC",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
356,Gatestone & Co. International Inc.,Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
357,General Collection Co.,Debt collection,1,0.0,0.0,1,1,0.0,0.0
358,Georgia Student Finance Authority,Student loan,1,0.0,0.0,1,1,0.0,0.0
359,"Glass Mountain Capital, LLC",Debt collection,1,0.0,0.0,1,1,0.0,0.0
360,"Glasser and Glasser, PLC",Credit card,1,0.0,0.0,1,1,0.0,0.0
361,Great American Finance Co,Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
362,"GreenPath, Inc.",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
363,HSBC NORTH AMERICA HOLDINGS INC.,Credit card,1,0.0,0.0,1,1,0.0,0.0
364,Healthcare Finance Direct LLC.,Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
365,"Helvey & Associates, Inc., Warsaw, IN Branch",Debt collection,1,0.0,0.0,1,1,0.0,0.0
366,"Herbert P. Sears Co., Inc.",Debt collection,1,0.0,0.0,1,1,0.0,0.0
367,"HireRight Solutions, Inc.",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
368,Holloway Credit Solutions,Debt collection,1,0.0,0.0,1,1,0.0,0.0
369,Idaho Housing And Finance Association,Mortgage,1,0.0,0.0,1,1,0.0,0.0
370,InDebted Corporation,Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
371,"J J Marshall & Associates, Inc",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
372,"Javitch, Block & Rathbone LLC",Debt collection,1,0.0,0.0,1,1,0.0,0.0
373,"Key 2 Recovery, Inc.",Debt collection,1,0.0,0.0,1,1,0.0,0.0
374,"Kimball, Tirey & St. John LLP",Debt collection,1,0.0,0.0,1,1,0.0,0.0
375,Kingston Data & Credit International Inc.,Debt collection,1,0.0,0.0,1,1,0.0,0.0
376,"Kratochvil Law, P.C.",Debt collection,1,0.0,0.0,1,1,0.0,0.0
377,"LAKEVIEW LOAN SERVICING, LLC",Mortgage,1,0.0,0.0,1,1,0.0,0.0
378,"LD Holdings Group, LLC",Mortgage,1,0.0,0.0,1,1,0.0,0.0
379,"LDF Holdings, LLC","Payday loan, title loan, personal loan, or advance loan",1,0.0,0.0,1,1,0.0,0.0
380,LOBEL FINANCIAL CORPORATION,Vehicle loan or lease,1,0.0,0.0,1,1,0.0,0.0
381,Larry H. Miller Group of Companies,Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
382,"Law Office of Michael J. Scott, PC",Debt collection,1,0.0,0.0,1,1,0.0,0.0
383,LendingPoint Holdings LLC,Debt collection,1,0.0,0.0,1,1,0.0,0.0
384,LendingUSA,"Payday loan, title loan, personal loan, or advance loan",1,0.0,0.0,1,1,0.0,0.0
385,"Lloyd & McDaniel, PLC",Debt collection,1,0.0,0.0,1,1,0.0,0.0
386,"Loan South Finance & Tax Service of Troy, LLC",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
387,MCMC Auto LTD,Vehicle loan or lease,1,0.0,0.0,1,1,0.0,0.0
388,"MERCANTILE ADJUSTMENT BUREAU, LLC",Debt collection,1,0.0,0.0,1,1,0.0,0.0
389,MORGAN STANLEY & CO. LLC,Checking or savings account,1,0.0,0.0,1,1,0.0,0.0
390,MORTGAGE SOLUTIONS OF COLORADO,Mortgage,1,0.0,0.0,1,1,0.0,0.0
391,"MPOWER Financing, Public Benefit Corporation",Student loan,1,0.0,0.0,1,1,0.0,0.0
392,"McNeil & Meyers Asset Management Group, LLC",Debt collection,1,0.0,0.0,1,1,0.0,0.0
393,Merchants Acceptance Corp,Debt collection,1,0.0,0.0,1,1,0.0,0.0
394,"Merchants Adjustment Service, Inc.",Debt collection,1,0.0,0.0,1,1,0.0,0.0
395,"Mercury Technologies, Inc.",Checking or savings account,1,0.0,0.0,1,1,0.0,0.0
396,Midwest Acceptance Corp.,Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
397,"Miller Investment Group, Inc DBA AutoNow",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
398,Minto Financial dba Minto Money,"Payday loan, title loan, personal loan, or advance loan",1,0.0,0.0,1,1,0.0,0.0
399,"Mirand Response Systems, Inc.",Debt collection,1,0.0,0.0,1,1,0.0,0.0
400,Mnet Financial Inc,Debt collection,1,0.0,0.0,1,1,0.0,0.0
401,"Momnt Technologies, Inc.","Payday loan, title loan, personal loan, or advance loan",1,0.0,0.0,1,1,0.0,0.0
402,Monterey Financial Services LLC,Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
403,NATIONAL DEBT RELIEF LLC,Debt or credit management,1,0.0,0.0,1,1,0.0,0.0
404,"NCP Holdings, L.P.",Debt collection,1,0.0,0.0,1,1,0.0,0.0
405,NISSAN MOTOR ACCEPTANCE COMPANY LLC,Vehicle loan or lease,1,0.0,0.0,1,1,0.0,0.0
406,"NPG Associates, Inc.",Debt collection,1,0.0,0.0,1,1,0.0,0.0
407,"National Collection Systems, Inc.",Debt collection,1,0.0,0.0,1,1,0.0,0.0
408,"National Commercial Services, Inc",Debt collection,1,0.0,0.0,1,1,0.0,0.0
409,"National Enterprise Systems, Inc.",Debt collection,1,0.0,0.0,1,1,0.0,0.0
410,"Nationwide Mortgage Bankers, Inc.",Mortgage,1,0.0,0.0,1,1,0.0,0.0
411,"Nav Technologies, Inc.",Credit card,1,0.0,0.0,1,1,0.0,0.0
412,"OPTUM BANK, INC.",Credit card,1,0.0,0.0,1,1,0.0,0.0
413,"Open Dealer Exchange, LLC",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
414,Opportunity Fund,Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
415,"Optio Solutions, LLC",Debt collection,1,0.0,0.0,1,1,0.0,0.0
416,PENNSYLVANIA HOUSING FINANCE AGENCY,Mortgage,1,0.0,0.0,1,1,0.0,0.0
417,"PLANET HOME LENDING, LLC",Mortgage,1,0.0,0.0,1,1,0.0,0.0
418,"PLS GROUP, INC","Money transfer, virtual currency, or money service",1,0.0,0.0,1,1,0.0,0.0
419,PREFERRED CREDIT INC,Debt collection,1,0.0,0.0,1,1,0.0,0.0
420,"PROFICIO FINANCIAL SERVICES, LLC",Debt collection,1,0.0,0.0,1,1,0.0,0.0
421,"PROSPERITY BANCSHARES, INC.",Checking or savings account,1,0.0,0.0,1,1,0.0,0.0
422,"Paramount Recovery Systems, L.P.",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
423,Park Hill Holdings,Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
424,Patient Accounting Service Center,Debt collection,1,0.0,0.0,1,1,0.0,0.0
425,"Paxful Holdings, Inc.","Money transfer, virtual currency, or money service",1,0.0,0.0,0,1,0.0,0.0
426,"Peer Advisors, LLC",Mortgage,1,0.0,0.0,1,1,0.0,0.0
427,Prince Parker & Associates,Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
428,"Progrexion Holdings, Inc.",Debt or credit management,1,0.0,0.0,1,1,0.0,0.0
429,QUALITY ACCEPTANCE LLC,Vehicle loan or lease,1,0.0,0.0,1,1,0.0,0.0
430,"R.A.Rogers, Inc.",Debt collection,1,0.0,0.0,1,1,0.0,0.0
431,"RAS LaVrar, LLC",Debt collection,1,0.0,0.0,1,1,0.0,0.0
432,"RFNA, LP",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
433,"RGS Financial, Inc.",Debt collection,1,0.0,0.0,1,1,0.0,0.0
434,RUOFF MORTGAGE,Mortgage,1,0.0,0.0,1,1,0.0,0.0
435,Range View Management LLC,Debt or credit management,1,0.0,0.0,1,1,0.0,0.0
436,"Receivable Collection Services, LLC",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
437,"Receivable Management Group, Inc. (GA)",Debt collection,1,0.0,0.0,1,1,0.0,0.0
438,"Receivable Recovery Services, LLC",Debt collection,1,0.0,0.0,1,1,0.0,0.0
439,"Receivables Management Partners, LLC",Debt collection,1,0.0,0.0,1,1,0.0,0.0
440,"Red White and Blue Autos, Inc.",Vehicle loan or lease,1,0.0,0.0,1,1,0.0,0.0
441,"ResidentCollect, Inc.",Debt collection,1,0.0,0.0,1,1,0.0,0.0
442,"Roadrunner Account Services, LLC",Debt collection,1,0.0,0.0,1,1,0.0,0.0
443,"Round Up Ventures, L.P.",Debt collection,1,0.0,0.0,1,1,0.0,0.0
444,RoundPoint Mortgage Servicing LLC,Mortgage,1,0.0,0.0,1,1,0.0,0.0
445,"Rubin & Rothman, LLC",Debt collection,1,0.0,0.0,1,1,0.0,0.0
446,SCHOOLSFIRST FEDERAL CREDIT UNION,Debt collection,1,0.0,0.0,1,1,0.0,0.0
447,SECURITY SERVICE FEDERAL CREDIT UNION,Checking or savings account,1,0.0,0.0,1,1,0.0,0.0
448,"SERVICEMAC, LLC",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
449,"SF VAGO, LLC",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
450,SN SERVICING CORPORATION,Mortgage,1,0.0,0.0,1,1,0.0,0.0
451,"Seattle Service Bureau, Inc",Debt collection,1,0.0,0.0,1,1,0.0,0.0
452,"Selip & Stylianou, LLP",Debt collection,1,0.0,0.0,1,1,0.0,0.0
453,"Shepherd Outsourcing, LLC",Debt collection,1,0.0,0.0,1,1,0.0,0.0
454,"Skopos Financial, LLC",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
455,Solar Mosaic LLC,"Payday loan, title loan, personal loan, or advance loan",1,0.0,0.0,1,1,0.0,0.0
456,"Steel River Systems, LLC",Debt collection,1,0.0,0.0,1,1,0.0,0.0
457,"Stenger & Stenger, P.C",Debt collection,1,0.0,0.0,1,1,0.0,0.0
458,Sulphur Bank Rancheria Enterprises,"Payday loan, title loan, personal loan, or advance loan",1,0.0,0.0,1,1,0.0,0.0
459,Sunlight Financial LLC,Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
460,"Superior Holdings, LLC",Vehicle loan or lease,1,0.0,0.0,1,1,0.0,0.0
461,Synergetic Communication Inc,Debt collection,1,0.0,0.0,1,1,0.0,0.0
462,"TESORO FINANCIAL, LLC",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
463,"The Best Service Co.,Inc",Debt collection,1,0.0,0.0,1,1,0.0,0.0
464,"The Law Offices of Jennifer McCoy, PC",Debt collection,1,0.0,0.0,1,1,0.0,0.0
465,The Moore Law Group,Debt collection,1,0.0,0.0,1,1,0.0,0.0
466,"The Stark Collection Agency, Inc.",Debt collection,1,0.0,0.0,1,1,0.0,0.0
467,"Tilt Finance, Inc.","Payday loan, title loan, personal loan, or advance loan",1,0.0,0.0,1,1,0.0,0.0
468,"Torres Credit Services, Inc.",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
469,"Tower Loan of Mississippi, Inc.",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
470,"Trident Asset Management, L.L.C.",Debt collection,1,0.0,0.0,1,1,0.0,0.0
471,"USCB, Inc.",Debt collection,1,0.0,0.0,1,1,0.0,0.0
472,"United Collection Bureau, Inc.",Debt collection,1,0.0,0.0,1,1,0.0,0.0
473,United Revenue Corporation,Debt collection,1,0.0,0.0,1,1,0.0,0.0
474,"Valley Collection Service, LLC",Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
475,"Volvo Car Financial Services U.S., LLC",Vehicle loan or lease,1,0.0,0.0,1,1,0.0,0.0
476,"WEBSTER BANK, NATIONAL ASSOCIATION",Checking or savings account,1,0.0,0.0,1,1,0.0,0.0
477,"Weltman, Weinberg & Reis Co., L.P.A.",Debt collection,1,0.0,0.0,1,1,0.0,0.0
478,Yamaha Motor Finance Corporation USA,Credit reporting or other personal consumer reports,1,0.0,0.0,1,1,0.0,0.0
479,Zions Debt Holdings,Debt collection,1,0.0,0.0,1,1,0.0,0.0
