risk_rank,company,primary_product,complaint_count,untimely_rate_pct,dispute_rate_pct,states,peak_monthly_complaints,maximum_monthly_growth_pct,risk_score
97,V and H Portfolio,Debt collection,7,0.0,0.0,5,7,0.0,44.76
98,"ACIMA CREDIT, LLC",Credit reporting or other personal consumer reports,6,0.0,0.0,5,6,0.0,43.26
99,Absolute Resolutions Corp.,Debt collection,6,0.0,0.0,5,6,0.0,43.26
100,"Aqua Finance, Inc.","Payday loan, title loan, personal loan, or advance loan",6,0.0,0.0,5,6,0.0,43.26
101,Consumer Adjustment Company Incorporated,Debt collection,6,0.0,0.0,5,6,0.0,43.26
102,"Debt Recovery Solutions, LLC",Debt collection,6,0.0,0.0,4,6,0.0,43.26
103,"Eastern Account Systems of Connecticut, Inc.",Debt collection,6,0.0,0.0,4,6,0.0,43.26
104,FC HoldCo LLC,Credit reporting or other personal consumer reports,6,0.0,0.0,4,6,0.0,43.26
105,LCI Acquisition Inc.,Credit reporting or other personal consumer reports,6,0.0,0.0,5,6,0.0,43.26
106,Lendmark Financial Services,Credit reporting or other personal consumer reports,6,0.0,0.0,4,6,0.0,43.26
107,"NRA Group, LLC",Debt collection,6,0.0,0.0,4,6,0.0,43.26
108,Netspend Corporation,Checking or savings account,6,0.0,0.0,5,6,0.0,43.26
109,"SELECT PORTFOLIO SERVICING, INC.",Mortgage,6,0.0,0.0,6,6,0.0,43.26
110,"Security Credit Services, LLC",Credit reporting or other personal consumer reports,6,0.0,0.0,4,6,0.0,43.26
111,"3G+1, Inc. dba California Auto Finance",Vehicle loan or lease,1,100.0,0.0,1,1,0.0,43.12
112,"Accscient, LLC",Credit reporting or other personal consumer reports,1,100.0,0.0,1,1,0.0,43.12
113,CONTRACT RESOLVE GROUP LLC,Debt collection,1,100.0,0.0,1,1,0.0,43.12
114,"Capital Accounts, LLC",Credit reporting or other personal consumer reports,1,100.0,0.0,1,1,0.0,43.12
115,"Coast to Coast Financial Solutions, Inc.",Debt collection,1,100.0,0.0,1,1,0.0,43.12
116,Expert Credit Sweeps,Debt collection,1,100.0,0.0,1,1,0.0,43.12
117,"Fleet Financial, Inc.",Vehicle loan or lease,1,100.0,0.0,1,1,0.0,43.12
118,"Ingo Money, Inc.","Money transfer, virtual currency, or money service",1,100.0,0.0,1,1,0.0,43.12
119,Landmark Collection Services Inc.,Debt collection,1,100.0,0.0,1,1,0.0,43.12
120,"M & S FUNDING, INC.",Credit reporting or other personal consumer reports,1,100.0,0.0,1,1,0.0,43.12
121,"Michel Law, LLC d/b/a Level One Law",Debt or credit management,1,100.0,0.0,1,1,0.0,43.12
122,"Moore Legal Group, LLC",Debt or credit management,1,100.0,0.0,1,1,0.0,43.12
123,"Nationwide Capital Services, LLC",Debt collection,1,100.0,0.0,1,1,0.0,43.12
124,"OCMBC, Inc",Mortgage,1,100.0,0.0,1,1,0.0,43.12
125,"PDQ Services, Inc.",Credit reporting or other personal consumer reports,1,100.0,0.0,1,1,0.0,43.12
126,PINNACLE CAPITAL MORTGAGE CORP,Mortgage,1,100.0,0.0,1,1,0.0,43.12
127,Trusted Mortgage Capital Inc,Mortgage,1,100.0,0.0,1,1,0.0,43.12
128,"Universal Account Servicing, LLC",Debt collection,1,100.0,0.0,1,1,0.0,43.12
129,Universal Envoy Corporation,Debt collection,1,100.0,0.0,1,1,0.0,43.12
130,"Williams, Rush & Associates, LLC",Debt collection,1,100.0,0.0,1,1,0.0,43.12
131,"American Credit Acceptance, LLC",Vehicle loan or lease,5,0.0,0.0,5,5,0.0,40.85
132,Army and Air Force Exchange Service,Credit reporting or other personal consumer reports,5,0.0,0.0,5,5,0.0,40.85
133,"CARRINGTON MORTGAGE SERVICES, LLC",Mortgage,5,0.0,0.0,5,5,0.0,40.85
134,"CAVALRY INVESTMENTS, LLC",Credit reporting or other personal consumer reports,5,0.0,0.0,4,5,0.0,40.85
135,Central Portfolio Control Inc.,Debt collection,5,0.0,0.0,5,5,0.0,40.85
136,"Coinbase, Inc.","Money transfer, virtual currency, or money service",5,0.0,0.0,3,5,0.0,40.85
137,"Consumer Portfolio Services, Inc.",Credit reporting or other personal consumer reports,5,0.0,0.0,4,5,0.0,40.85
138,FIFTH THIRD FINANCIAL CORPORATION,Checking or savings account,5,0.0,0.0,5,5,0.0,40.85
139,HYUNDAI CAPITAL AMERICA,Vehicle loan or lease,5,0.0,0.0,4,5,0.0,40.85
140,KEYCORP,Checking or savings account,5,0.0,0.0,4,5,0.0,40.85
141,MoneyLion Inc.,Credit reporting or other personal consumer reports,5,0.0,0.0,5,5,0.0,40.85
142,OPORTUN FINANCIAL CORPORATION,Credit reporting or other personal consumer reports,5,0.0,0.0,4,5,0.0,40.85
143,Ocwen Financial Corporation,Mortgage,5,0.0,0.0,3,5,0.0,40.85
144,"Prosper Marketplace, Inc.",Credit card,5,0.0,0.0,5,5,0.0,40.85
145,Regional Management Corporation,Credit reporting or other personal consumer reports,5,0.0,0.0,5,5,0.0,40.85
146,"Rocket Mortgage, LLC",Credit reporting or other personal consumer reports,5,0.0,0.0,5,5,0.0,40.85
147,Source Receivables Management LLC,Debt collection,5,0.0,0.0,4,5,0.0,40.85
148,"Southwest Credit Systems, L.P.",Debt collection,5,0.0,0.0,5,5,0.0,40.85
149,The Receivable Management Services LLC,Credit reporting or other personal consumer reports,5,0.0,0.0,4,5,0.0,40.85
150,Velocity Portfolio Group,Debt collection,5,0.0,0.0,5,5,0.0,40.85
151,"Bounce AI, Inc.",Debt collection,4,0.0,0.0,4,4,0.0,38.78
152,"Collection Management Holdings, LLC",Credit reporting or other personal consumer reports,4,0.0,0.0,4,4,0.0,38.78
153,"Colony Brands, Inc.",Debt collection,4,0.0,0.0,1,4,0.0,38.78
154,EdFinancial Services,Student loan,4,0.0,0.0,2,4,0.0,38.78
155,FIRST PORTFOLIO SERVICING INC,Debt collection,4,0.0,0.0,3,4,0.0,38.78
156,FREEDOM FINANCIAL NETWORK,Debt or credit management,4,0.0,0.0,4,4,0.0,38.78
157,"Fay Servicing, LLC",Mortgage,4,0.0,0.0,3,4,0.0,38.78
158,FirstPoint Collection Resources,Debt collection,4,0.0,0.0,3,4,0.0,38.78
159,Global Lending Services LLC,Credit reporting or other personal consumer reports,4,0.0,0.0,4,4,0.0,38.78
160,"HUNTINGTON NATIONAL BANK, THE",Checking or savings account,4,0.0,0.0,4,4,0.0,38.78
161,"Halsted Financial Services, LLC.",Debt collection,4,0.0,0.0,4,4,0.0,38.78
162,"Lockhart, Morris & Montgomery Inc.",Debt collection,4,0.0,0.0,4,4,0.0,38.78
163,"Marlette Funding, LLC",Credit card,4,0.0,0.0,1,4,0.0,38.78
164,"Sequium Asset Solutions, LLC",Debt collection,4,0.0,0.0,4,4,0.0,38.78
165,"UPGRADE, INC.","Payday loan, title loan, personal loan, or advance loan",4,0.0,0.0,3,4,0.0,38.78
166,World Omni Financial Corp.,Credit reporting or other personal consumer reports,4,0.0,0.0,3,4,0.0,38.78
167,"Ability Recovery Services, LLC",Debt collection,3,0.0,0.0,3,3,0.0,34.75
168,"Advance America, Cash Advance Centers, Inc.",Debt collection,3,0.0,0.0,3,3,0.0,34.75
169,AmeriCollect,Debt collection,3,0.0,0.0,2,3,0.0,34.75
170,"Amsher Collection Services, Inc.",Debt collection,3,0.0,0.0,3,3,0.0,34.75
171,BANCO POPULAR DE PUERTO RICO,Credit reporting or other personal consumer reports,3,0.0,0.0,2,3,0.0,34.75
