agency,payee_name,check_amount,issue_date,spending_category,expense_category,contract_id,duplicate_like,missing_contract,round_amount,category_outlier,anomaly_score,rule_count,evidence_score
Housing Preservation and Development,NEW YORK CITY HOUSING DEVELOPMENT CORP,5850000.0,2024-02-20,Capital Contracts,CONSTRUCTION-BUILDINGS,POC80620242006782,0,0,1,1,0.7628667083792285,2,87.98693333333333
SCHOOL CONSTRUCTION AUTHORITY,AECOM USA INC,5000000.0,2023-11-30,Capital Contracts,CONSTRUCTION-BUILDINGS,PON104420242422695,0,0,1,1,0.7619060719789622,2,87.95033333333333
Miscellaneous,NEW YORK CITY RETIREE HEALTH BENEFITS TRUST,5000000.0,2024-06-25,Others,HEALTH INSURANCE PLAN CITY EMP,,1,0,1,0,0.759123008282479,2,87.94403333333334
Miscellaneous,NEW YORK CITY RETIREE HEALTH BENEFITS TRUST,5000000.0,2024-06-25,Others,HEALTH INSURANCE PLAN CITY EMP,,1,0,1,0,0.759123008282479,2,87.94403333333334
Department of Education,NYC SCHOOL CONSTRUCTION AUTHORITY,3000000.0,2024-03-15,Capital Contracts,CONSTRUCTION-BUILDINGS,PON1040SCA20-24MC,1,0,1,0,0.7676359508428248,2,87.80043333333333
Department of Education,NYC SCHOOL CONSTRUCTION AUTHORITY,3000000.0,2024-03-15,Capital Contracts,CONSTRUCTION-BUILDINGS,PON1040SCA20-24MC,1,0,1,0,0.7676359508428248,2,87.80043333333333
Department of Education,NYC SCHOOL CONSTRUCTION AUTHORITY,2000000.0,2023-07-05,Capital Contracts,CONSTRUCTION-BUILDINGS,PON1040SCA20-24MC,1,0,1,0,0.7651031197141868,2,87.55233333333334
Department of Education,NYC SCHOOL CONSTRUCTION AUTHORITY,2000000.0,2023-07-05,Capital Contracts,CONSTRUCTION-BUILDINGS,PON1040SCA20-24MC,1,0,1,0,0.7651031197141868,2,87.55233333333334
Department of Education,NYC SCHOOL CONSTRUCTION AUTHORITY,2000000.0,2023-07-05,Capital Contracts,CONSTRUCTION-BUILDINGS,PON1040SCA15-19MC,1,0,1,0,0.7651031197141868,2,87.55233333333334
Miscellaneous,N/A (PRIVACY/SECURITY),2000000.0,2024-03-08,Others,JUDGMENTS AND CLAIMS-GROSS PROCEEDS,,0,0,1,1,0.7646343966639525,2,87.54873333333333
Miscellaneous,MARK M BASICHAS & ASSOCIATES,2000000.0,2023-11-01,Others,JUDGMENTS AND CLAIMS-GROSS PROCEEDS,,0,0,1,1,0.7637090393836886,2,87.54603333333334
Miscellaneous,LAW OFFICES OF PATRICK J,2000000.0,2024-01-31,Others,JUDGMENTS AND CLAIMS-GROSS PROCEEDS,,0,0,1,1,0.7637090393836886,2,87.54603333333334
Department of Education,NYC SCHOOL SUPPORT SERVICES INC,1700000.0,2023-10-17,Contracts,MAINT & OPER OF INFRASTRUCTURE,CT104020219150300,0,0,1,1,0.7568179356802691,2,87.41413333333334
Miscellaneous,NEW YORK LIFE INSURANCE CO,1500000.0,2023-07-17,Others,JUDGMENTS AND CLAIMS-NOT REPORTABLE,,0,0,1,1,0.7599863110988554,2,87.31243333333335
