agency,payee_name,check_amount,issue_date,spending_category,expense_category,contract_id,duplicate_like,missing_contract,round_amount,category_outlier,anomaly_score,rule_count,evidence_score
Administration for Children's Services,NYC FINANCE-POOL ACCOUNT RE: ACS FOSTER HOME ACCT,19947851.85,2024-05-08,Others,SUBSIDIZED ADOPTION,,0,0,0,1,0.7036612472430028,1,76.26266666666666
Department of Education,GE INSTR & SCH LEADERSHIP - PS,10526876.4,2023-09-25,Payroll,Payroll Summary,,0,0,0,1,0.7132797449118582,1,76.25246666666666
Department of Health and Mental Hygiene,NEW YORK CITY ECONOMIC DEVELOPMENT CORPORATION,15434334.98,2024-06-18,Capital Contracts,CONSTRUCTION-BUILDINGS,CTA180120227205536,0,0,0,1,0.7046817372296045,1,76.25206666666666
Department of Education,SE INSTR & SCH LEADERSHIP - PS,14937437.33,2024-05-15,Payroll,Payroll Summary,,0,0,0,1,0.7031369530239975,1,76.23696666666666
Department of Small Business Services,NEW YORK CITY ECONOMIC DEVELOPMENT CORPORATION,10122232.44,2023-07-24,Contracts,CONTRACTUAL SERVICES GENERAL,CTA180120237205057,0,0,0,1,0.7118364393954211,1,76.23586666666667
Department of Education,SE INSTR & SCH LEADERSHIP - PS,14771422.37,2024-06-28,Payroll,Payroll Summary,,0,0,0,1,0.7031369530239975,1,76.23536666666666
Department of Education,FRINGE BENEFITS - PS,16364670.89,2023-09-15,Payroll,Payroll Summary,,0,0,0,1,0.7027958927255624,1,76.23276666666666
Housing Preservation and Development,NEW YORK CITY HOUSING DEVELOPMENT CORP,19246337.0,2023-07-10,Capital Contracts,CONSTRUCTION-BUILDINGS,POC80620232016936,0,0,0,1,0.7016811530486734,1,76.23046666666667
Department of Education,FRINGE BENEFITS - PS,16005778.68,2023-10-31,Payroll,Payroll Summary,,0,0,0,1,0.7027958927255624,1,76.23036666666667
Department of Education,UNIVERSAL PRE-K - PS,12061896.43,2024-05-31,Payroll,Payroll Summary,,0,0,0,1,0.7034150517949007,1,76.22226666666667
Department of Education,SE INSTR & SCH LEADERSHIP - PS,14304739.57,2023-12-29,Payroll,Payroll Summary,,0,0,0,1,0.7023445118369585,1,76.21626666666666
Department of Education,UNIVERSAL PRE-K - PS,11759433.12,2023-10-16,Payroll,Payroll Summary,,0,0,0,1,0.7034150517949007,1,76.21586666666667
Department of Education,UNIVERSAL PRE-K - PS,11747977.38,2024-01-16,Payroll,Payroll Summary,,0,0,0,1,0.7034150517949007,1,76.21506666666667
Transit Authority,METROPOLITAN TRANSPORTATION AUTHORITY,8834941.1,2024-02-12,Capital Contracts,IOTB CONSTRUCTION,CT199820231415707,0,0,0,1,0.7112960365238571,1,76.21206666666667
Miscellaneous,FRINGE BENEFITS,14664985.52,2024-03-01,Payroll,Payroll Summary,,0,0,0,1,0.7016421263244865,1,76.20856666666667
Miscellaneous,FRINGE BENEFITS,14597975.03,2024-03-15,Payroll,Payroll Summary,,0,0,0,1,0.7016421263244865,1,76.20776666666667
Miscellaneous,FRINGE BENEFITS,14511778.06,2023-08-18,Payroll,Payroll Summary,,0,0,0,1,0.7013784417397809,1,76.20336666666667
Department of Education,NYC SCHOOL CONSTRUCTION AUTHORITY,14707141.0,2023-07-05,Capital Contracts,CONSTRUCTION-BUILDINGS,PON1040SCA20-24MC,0,0,0,1,0.7008169299067379,1,76.20306666666667
Miscellaneous,FRINGE BENEFITS,14507711.78,2023-10-13,Payroll,Payroll Summary,,0,0,0,1,0.7013784417397809,1,76.20256666666667
Department of Information Technology and Telecommunications,DELL MARKETING LP,16398439.47,2024-01-16,Contracts,DATA PROCESSING EQUIPMENT MAINTENANCE,DO185820249910316,0,0,0,1,0.6999360817400992,1,76.20026666666666
Fire Department,FIRE EXTING AND EMERG RESP,11408931.24,2024-06-07,Payroll,Payroll Summary,,0,0,0,1,0.7028498364048581,1,76.19886666666666
Fire Department,FIRE EXTING AND EMERG RESP,11405867.41,2024-03-29,Payroll,Payroll Summary,,0,0,0,1,0.7028498364048581,1,76.19806666666666
Police Department,OPERATIONS,16583818.51,2023-07-07,Payroll,Payroll Summary,,0,0,0,1,0.6992811004709972,1,76.19746666666666
Fire Department,FIRE EXTING AND EMERG RESP,11312648.09,2024-03-01,Payroll,Payroll Summary,,0,0,0,1,0.7028498364048581,1,76.19646666666667
Department of Education,GE INSTR & SCH LEADERSHIP - PS,8436050.92,2023-11-01,Payroll,Payroll Summary,,0,0,0,1,0.707937679735832,1,76.19366666666666
Department of Health and Mental Hygiene,NEW YORK CITY ECONOMIC DEVELOPMENT CORPORATION,13224621.87,2024-03-19,Capital Contracts,CONSTRUCTION-BUILDINGS,CTA180120227205536,0,0,0,1,0.7007197667886917,1,76.19146666666666
Department of Information Technology and Telecommunications,"INNOVATIVE BUSINESS CONCEPTS,INC",12929625.76,2023-11-08,Contracts,CONTRACTUAL SERVICES GENERAL,CT185820238808095,0,0,0,1,0.7007927166492999,1,76.19086666666666
Fire Department,FIRE EXTING AND EMERG RESP,10621896.88,2023-11-09,Payroll,Payroll Summary,,0,0,0,1,0.7020577188006341,1,76.17676666666665
Fire Department,FIRE EXTING AND EMERG RESP,10501959.05,2023-11-24,Payroll,Payroll Summary,,0,0,0,1,0.7020577188006341,1,76.17516666666666
Department of Education,SE INSTR & SCH LEADERSHIP - PS,12703944.6,2024-06-28,Payroll,Payroll Summary,,0,0,0,1,0.6991836679073055,1,76.17206666666667
Housing Preservation and Development,NEW YORK CITY HOUSING DEVELOPMENT CORP,16994323.0,2024-01-03,Capital Contracts,CONSTRUCTION-BUILDINGS,POC80620242006572,0,0,0,1,0.6977418039656317,1,76.17106666666666
Department of Education,SE INSTR & SCH LEADERSHIP - PS,12265523.16,2024-02-29,Payroll,Payroll Summary,,0,0,0,1,0.6991836679073055,1,76.17046666666666
Miscellaneous,FRINGE BENEFITS,13520729.87,2023-07-21,Payroll,Payroll Summary,,0,0,0,1,0.698747040003712,1,76.16606666666667
Department of Education,SE INSTR & SCH LEADERSHIP - PS,11483537.97,2023-11-15,Payroll,Payroll Summary,,0,0,0,1,0.6994465273625344,1,76.16326666666666
Department of Education,GE INSTR & SCH LEADERSHIP - PS,7274782.12,2024-05-16,Payroll,Payroll Summary,,0,0,0,1,0.7068740774103205,1,76.16206666666666
Department of Education,SE INSTR & SCH LEADERSHIP - PS,11649896.01,2023-12-29,Payroll,Payroll Summary,,0,0,0,1,0.6991836679073055,1,76.15846666666665
Department of Health and Mental Hygiene,NEW YORK CITY ECONOMIC DEVELOPMENT CORPORATION,11468244.74,2024-02-14,Capital Contracts,CONSTRUCTION-BUILDINGS,CTA180120227205536,0,0,0,1,0.6991412228101644,1,76.14806666666667
Police Department,PATROL - PS,13106232.0,2023-12-22,Payroll,Payroll Summary,,0,0,0,1,0.6968880497578845,1,76.14306666666667
Department of Health and Mental Hygiene,NEW YORK CITY ECONOMIC DEVELOPMENT CORPORATION,10245296.19,2023-11-14,Capital Contracts,CONSTRUCTION-BUILDINGS,CTA180120227205536,0,0,0,1,0.6983532848442691,1,76.12586666666667
Department of Health and Mental Hygiene,N/A (PRIVACY/SECURITY),11375525.0,2024-01-18,Others,AIDS SERVICES,,0,0,0,1,0.6972352940728369,1,76.12166666666667
Fire Department,FIRE EXTING AND EMERG RESP,9167785.03,2024-02-02,Payroll,Payroll Summary,,0,0,0,1,0.699083066640596,1,76.11346666666667
Department of Education,SE INSTR & SCH LEADERSHIP - PS,10215978.75,2024-03-15,Payroll,Payroll Summary,,0,0,0,1,0.6968223737004634,1,76.10166666666666
Department of Information Technology and Telecommunications,CDW GOVERNMENT LLC,8456554.1,2023-11-27,Capital Contracts,CAPITAL PURCHASED EQUIPMENT,DO185820248000196,0,0,0,1,0.6982442923192179,1,76.09906666666667
Board of Elections,PERSONAL SERVICES,5437794.87,2023-07-07,Payroll,Payroll Summary,,0,0,0,1,0.7050226810124506,1,76.09226666666666
Department of Education,SE INSTR & SCH LEADERSHIP - PS,9995563.53,2023-10-16,Payroll,Payroll Summary,,0,0,0,1,0.6965605004301321,1,76.08786666666667
Housing Preservation and Development,DEKALB COMMONS NY LLC,4350000.0,2023-07-05,Capital Contracts,CONSTRUCTION-BUILDINGS,POC80620232016982,0,0,1,0,0.7131152923823855,1,76.07286666666667
District Attorney -Kings County,PERSONAL SERVICES,3598211.39,2023-10-27,Payroll,Payroll Summary,,0,0,0,1,0.7184157477116039,1,76.07026666666667
Fire Department,FIRE EXTING AND EMERG RESP,8245883.92,2024-06-07,Payroll,Payroll Summary,,0,0,0,1,0.6959369005778262,1,76.05376666666666
Fire Department,FIRE EXTING AND EMERG RESP,8182486.57,2024-03-15,Payroll,Payroll Summary,,0,0,0,1,0.6959369005778262,1,76.05296666666666
Fire Department,FIRE EXTING AND EMERG RESP,8157933.27,2024-03-01,Payroll,Payroll Summary,,0,0,0,1,0.6959369005778262,1,76.05216666666666
Miscellaneous,FRINGE BENEFITS,10278474.26,2023-12-22,Payroll,Payroll Summary,,0,0,0,1,0.6950796548716821,1,76.05106666666667
Fire Department,FIRE EXTING AND EMERG RESP,8094961.27,2023-09-29,Payroll,Payroll Summary,,0,0,0,1,0.6959369005778262,1,76.05056666666667
Department of Education,CW SE INSTR & SCHL LEADERSHIP - PS,7625637.51,2023-11-30,Payroll,Payroll Summary,,0,0,0,1,0.6964973139030773,1,76.04926666666667
Department of Education,CW SE INSTR & SCHL LEADERSHIP - PS,7532476.86,2023-10-16,Payroll,Payroll Summary,,0,0,0,1,0.6962355627936804,1,76.04576666666667
Financial Information Services Agency,CGI TECHNOLOGIES AND SOLUTIONS INC,3320000.0,2024-02-14,Contracts,DATA PROCESSING EQUIPMENT MAINTENANCE,CT112720080040906,0,0,1,0,0.7228361064364821,1,76.04386666666667
Police Department,OPERATIONS,11774231.09,2024-06-21,Payroll,Payroll Summary,,0,0,0,1,0.6932076430310806,1,76.03936666666667
Queens Borough Public Library,QUEENS BOROUGH PUBLIC LIBRARY,3200000.0,2023-07-05,Contracts,PAYMENTS TO LIBRARIES,PON1039OPER072023A,0,0,1,0,0.7277752735774907,1,76.03386666666667
Department of Education,FRINGE BENEFITS - PS,9632254.28,2024-03-15,Payroll,Payroll Summary,,0,0,0,1,0.6949153736045112,1,76.03076666666666
Department of Education,FRINGE BENEFITS - PS,9584696.64,2024-02-16,Payroll,Payroll Summary,,0,0,0,1,0.6949153736045112,1,76.02996666666667
Department of Education,SE INSTR & SCH LEADERSHIP - PS,8934711.78,2024-05-31,Payroll,Payroll Summary,,0,0,0,1,0.6949913262241966,1,76.02926666666667
Department of Education,FRINGE BENEFITS - PS,9568102.34,2024-02-02,Payroll,Payroll Summary,,0,0,0,1,0.6949153736045112,1,76.02916666666667
Police Department,OPERATIONS,11309169.86,2024-02-02,Payroll,Payroll Summary,,0,0,0,1,0.6932076430310806,1,76.02736666666667
Department of Education,FRINGE BENEFITS - PS,9433597.39,2023-11-24,Payroll,Payroll Summary,,0,0,0,1,0.6949153736045112,1,76.02676666666667
Fire Department,FIRE EXTING AND EMERG RESP,7366584.53,2024-05-10,Payroll,Payroll Summary,,0,0,0,1,0.6956753600777261,1,76.02296666666666
Fire Department,FIRE EXTING AND EMERG RESP,7335624.96,2023-09-15,Payroll,Payroll Summary,,0,0,0,1,0.6956753600777261,1,76.02216666666666
Fire Department,FIRE EXTING AND EMERG RESP,7289532.97,2023-07-21,Payroll,Payroll Summary,,0,0,0,1,0.6956753600777261,1,76.01976666666667
Police Department,OPERATIONS,10938688.23,2023-07-21,Payroll,Payroll Summary,,0,0,0,1,0.6929471282150378,1,76.01946666666666
Fire Department,FIRE EXTING AND EMERG RESP,7271217.79,2023-08-04,Payroll,Payroll Summary,,0,0,0,1,0.6956753600777261,1,76.01816666666667
Department of Transportation,"AMERICAN TRAFFIC SOLUTIONS, INC.",11442874.2,2023-08-16,Contracts,MAINT & OPER OF INFRASTRUCTURE,CT184120228804001,0,0,0,1,0.6923491591037638,1,76.01776666666666
Department of Transportation,"AMERICAN TRAFFIC SOLUTIONS, INC.",11432029.4,2023-07-12,Contracts,MAINT & OPER OF INFRASTRUCTURE,CT184120228804001,0,0,0,1,0.6923491591037638,1,76.01696666666666
Fire Department,FIRE EXTING AND EMERG RESP,7260508.61,2024-06-21,Payroll,Payroll Summary,,0,0,0,1,0.6956753600777261,1,76.01656666666666
Department of Education,NYC SCHOOL CONSTRUCTION AUTHORITY,4000000.0,2024-03-15,Capital Contracts,CONSTRUCTION-BUILDINGS,PON1040SCA20-24MC,0,0,1,0,0.7087152779657565,1,76.01626666666667
Fire Department,FIRE EXTING AND EMERG RESP,7259622.61,2023-08-18,Payroll,Payroll Summary,,0,0,0,1,0.6956753600777261,1,76.01576666666666
Department of Education,CW SE INSTR & SCHL LEADERSHIP - PS,6459769.17,2023-08-15,Payroll,Payroll Summary,,0,0,0,1,0.6962355627936804,1,76.01296666666667
Department of Parks and Recreation,CSX TRANSPORTATION INC,3670000.0,2024-05-20,Capital Contracts,LAND ACQUISITION - CONDEMNATION,POC01520242013006,0,0,1,0,0.7089632320644202,1,75.99726666666666
Department of Health and Mental Hygiene,STATE OF NEW YORK,11524068.54,2024-02-26,Contracts,MENTAL HYGIENE SERVICES,PON181620240000256,0,0,0,1,0.6905400906238595,1,75.99486666666667
Fire Department,FIRE EXTING AND EMERG RESP,6699909.37,2023-11-24,Payroll,Payroll Summary,,0,0,0,1,0.6951525739097051,1,75.98936666666665
Fire Department,FIRE EXTING AND EMERG RESP,6658336.34,2024-01-19,Payroll,Payroll Summary,,0,0,0,1,0.6951525739097051,1,75.98776666666666
Fire Department,FIRE EXTING AND EMERG RESP,6581827.37,2024-01-19,Payroll,Payroll Summary,,0,0,0,1,0.6951525739097051,1,75.98536666666666
Department of Transportation,TRANSIT OPERATIONS,11628402.6,2024-01-19,Payroll,Payroll Summary,,0,0,0,1,0.6902860754699128,1,75.98306666666666
Fire Department,FIRE EXTING AND EMERG RESP,6461140.39,2023-07-21,Payroll,Payroll Summary,,0,0,0,1,0.6951525739097051,1,75.98136666666666
Department of Education,GE INSTR & SCH LEADERSHIP - PS,5377470.77,2024-06-20,Payroll,Payroll Summary,,0,0,0,1,0.6967763002810723,1,75.97896666666666
Department of Education,GE INSTR & SCH LEADERSHIP - PS,5224077.09,2024-05-09,Payroll,Payroll Summary,,0,0,0,1,0.6967763002810723,1,75.97176666666667
Police Department,TRANSIT POLICE-PS,13722275.68,2023-07-21,Payroll,Payroll Summary,,0,0,0,1,0.688808388420747,1,75.97066666666666
Department of Education,SCHOOL SUPPORT ORGANIZATION,6237818.88,2024-05-15,Payroll,Payroll Summary,,0,0,0,1,0.6944826325190712,1,75.94766666666666
Department of Health and Mental Hygiene,STATE OF NEW YORK,10715306.59,2024-02-12,Contracts,MENTAL HYGIENE SERVICES,PON181620240000256,0,0,0,1,0.6889844788748409,1,75.93986666666666
Board of Elections,PERSONAL SERVICES,3780486.16,2023-11-09,Payroll,Payroll Summary,,0,0,0,1,0.7005319619537046,1,75.93606666666666
Miscellaneous,FRINGE BENEFITS,7841649.65,2024-06-21,Payroll,Payroll Summary,,0,0,0,1,0.6903388971243671,1,75.93236666666667
Miscellaneous,FRINGE BENEFITS,7772038.57,2024-02-16,Payroll,Payroll Summary,,0,0,0,1,0.6903388971243671,1,75.93156666666667
Miscellaneous,FRINGE BENEFITS,7743690.68,2023-12-22,Payroll,Payroll Summary,,0,0,0,1,0.6903388971243671,1,75.93076666666666
Housing Preservation and Development,BROWNSVILLE CROSSING OWNER LLC,6282698.0,2023-12-18,Capital Contracts,CONSTRUCTION-BUILDINGS,POC80620242005491,0,0,0,1,0.6930141752575723,1,75.92686666666667
Miscellaneous,FRINGE BENEFITS,7654413.76,2023-11-09,Payroll,Payroll Summary,,0,0,0,1,0.6903388971243671,1,75.92676666666667
Pension Contributions,TRS-PENSION FUNDING,3675470.0,2023-09-21,Contracts,TEACH RET SYS PENS FND RES #2,PON104120242000137,0,0,0,1,0.7001805148461947,1,75.92606666666666
Department of Education,FRINGE BENEFITS - PS,6753649.65,2023-10-12,Payroll,Payroll Summary,,0,0,0,1,0.6912680990355017,1,75.92056666666667
Department of Education,FRINGE BENEFITS - PS,6720031.79,2024-03-28,Payroll,Payroll Summary,,0,0,0,1,0.6912680990355017,1,75.91896666666666
Department of Education,FRINGE BENEFITS - PS,6715519.83,2024-03-14,Payroll,Payroll Summary,,0,0,0,1,0.6912680990355017,1,75.91816666666666
